wine_dataset,,,,
alcohol,magnesium,flavanoids,color_intensity,hue
12.87,86,0.65,7.65,0.54
13.32,92,0.76,8.42,0.55
13.08,113,1.39,9.4,0.57
13.5,123,1.57,8.6,0.59
12.79,112,1.36,10.8,0.48
13.11,116,1.28,7.1,0.61
13.23,98,0.83,10.52,0.56
12.58,103,0.58,7.6,0.58
13.17,93,0.63,7.9,0.6
13.84,89,0.83,9.01,0.57
12.45,97,0.58,7.5,0.67
14.34,98,1.31,13,0.57
13.48,89,1.1,11.75,0.57
12.36,88,0.92,7.65,0.56
13.69,107,0.56,5.88,0.96
12.85,106,0.6,5.58,0.87
12.96,106,0.7,5.28,0.68
13.78,90,0.68,9.58,0.7
13.73,88,0.47,6.62,0.78
13.45,111,0.92,10.68,0.85
12.82,88,0.66,10.26,0.72
13.58,105,0.84,8.66,0.74
13.4,112,0.96,8.5,0.67
12.2,96,0.49,5.5,0.66
12.77,86,0.51,9.899999,0.57
14.16,91,0.7,9.7,0.62
13.71,95,0.61,7.7,0.64
13.4,102,0.75,7.3,0.7
13.27,120,0.69,10.2,0.59
13.17,120,0.68,9.3,0.6
14.13,96,0.76,9.2,0.61
